==============================================================================
==============================================================================
Tue. Sep. 2 2014                  LANDSAT 4                       Time: 11:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101409017506_00039                          Path / Row - 121 / 34
Reference Image: L41XXX1089028020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 87.5%
Rank   2 -- 12.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210342659   37.53360    118.78746     0.06     -0.01     0.06     1 
1210342729   37.51125    118.61213     0.01      0.08     0.08     1 
1210342734   37.50873    118.78687     0.17      0.30     0.35     1 
1210342782   37.49437    117.84278     0.31     -0.20     0.37     1 
1210342794   37.49063    118.26217    -0.36     -0.04     0.36     1 
1210342803   37.48685    118.57666    -0.05      0.05     0.07     1 
1210342806   37.48541    118.68147    -0.10      0.01     0.10     1 
1210342807   37.48490    118.71641    -0.17     -0.02     0.17     1 
1210342857   37.46949    117.84250     0.16     -0.08     0.18     1 
1210342877   37.46244    118.54121    -0.21     -0.07     0.22     1 
1210342879   37.46151    118.61106     0.04      0.17     0.17     1 
1210342882   37.46004    118.71584     0.02     -0.01     0.02     1 
1210342949   37.43890    118.43594    -0.14      0.02     0.14     1 
1210342957   37.43517    118.71527    -0.01      0.14     0.14     1 
1210343021   37.41525    118.33074     0.19     -0.17     0.25     1 
1210343026   37.41316    118.50528    -0.14      0.00     0.14     1 
1210343032   37.41030    118.71470     0.01      0.05     0.05     1 
1210343096   37.39038    118.33030    -0.16     -0.08     0.18     1 
1210343098   37.38957    118.40010    -0.02     -0.18     0.18     1 
1210343101   37.38829    118.50478    -0.27     -0.08     0.28     1 
1210343102   37.38784    118.53968    -0.05     -0.02     0.05     1 
1210343110   37.38387    118.81880    -0.17      0.21     0.26     1 
1210343161   37.36892    117.98096    -0.16      0.18     0.24     1 
1210343162   37.36862    118.01586     0.31     -0.12     0.33     1 
1210343168   37.36664    118.22520    -0.35      0.12     0.37     1 
1210343173   37.36470    118.39964    -0.35      0.29     0.45     1 
1210343176   37.36342    118.50429     0.01     -0.30     0.30     1 
1210343177   37.36297    118.53917     0.45     -0.05     0.45     1 
1210343178   37.36251    118.57405     0.04     -0.09     0.10     1 
1210343187   37.35791    118.88795    -0.24      0.45     0.51     2 
1210343188   37.35735    118.92283    -0.69     -0.23     0.73     2 
1210343239   37.34313    118.08528    -0.35     -0.35     0.50     1 
1210343241   37.34247    118.15504     0.21      0.23     0.31     1 
1210343248   37.33983    118.39917    -0.13      0.02     0.13     1 
1210343249   37.33941    118.43405    -0.11     -0.12     0.16     1 
1210343254   37.33717    118.60840     0.06      0.13     0.15     1 
1210343260   37.33414    118.81760     0.01      0.09     0.10     1 
1210343261   37.33360    118.85247    -0.03     -0.23     0.24     1 
1210343262   37.33305    118.88733     0.20      0.28     0.34     1 
1210343289   37.31429    119.82820     0.08      0.29     0.31     1 
1210343318   37.31689    118.22439    -0.05     -0.29     0.29     1 
1210343319   37.31653    118.25926    -0.10      0.06     0.12     1 
1210343330   37.31182    118.64273    -0.16     -0.03     0.16     1 
1210343331   37.31133    118.67759    -0.11      0.21     0.24     1 
1210343332   37.31083    118.71244     0.07      0.27     0.28     1 
1210343401   37.28881    118.50280     0.04      0.63     0.63     2 
1210343402   37.28836    118.53765    -0.04     -0.66     0.66     2 
1210343405   37.28695    118.64219    -0.15      0.19     0.24     1 
1210343406   37.28647    118.67704     0.00      0.00     0.00     1 
1210343413   37.28276    118.92093     0.53      0.26     0.59     2 
1210343414   37.28219    118.95576     0.56     -0.03     0.56     2 
1210343473   37.26522    118.39779     0.06      0.07     0.09     1 
1210343481   37.26160    118.67648    -0.00     -0.12     0.12     1 
1210343484   37.26007    118.78098    -0.12     -0.10     0.16     1 
1210343486   37.25900    118.85064     0.13      0.01     0.13     1 
1210343487   37.25845    118.88547     0.01      0.03     0.03     1 
1210343547   37.24075    118.36250     0.42     -0.35     0.54     2 
1210343556   37.23673    118.67593    -0.11     -0.10     0.15     1 
1210343557   37.23623    118.71075     0.18      0.05     0.18     1 
1210343559   37.23521    118.78039    -0.04      0.09     0.10     1 
1210343560   37.23468    118.81521     0.02     -0.09     0.09     1 
1210343561   37.23414    118.85003     0.08     -0.10     0.13     1 
1210343562   37.23359    118.88485     0.01     -0.06     0.07     1 
1210343589   37.21490    119.82448    -0.22     -0.27     0.35     1 
1210343607   37.22074    117.83973    -0.18      0.01     0.18     1 
1210343613   37.21907    118.04868     0.09     -0.26     0.28     1 
1210343620   37.21666    118.29242     0.11     -0.13     0.17     1 
1210343682   37.19586    117.83945     0.02      0.23     0.23     1 
1210343683   37.19561    117.87427    -0.00      0.50     0.50     2 
1210343684   37.19535    117.90908     0.20     -0.03     0.21     1 
1210343694   37.19216    118.25719     0.10     -0.28     0.30     1 
1210343695   37.19179    118.29200     0.03     -0.05     0.06     1 
1210343702   37.18888    118.53563    -0.03      0.23     0.24     1 
1210343703   37.18842    118.57043     0.11      0.32     0.34     1 
1210343711   37.18441    118.84882    -0.26     -0.02     0.26     1 
1210343712   37.18386    118.88361    -0.03      0.01     0.03     1 
1210343738   37.16602    119.78787    -0.07     -0.03     0.07     1 
1210343759   37.17047    117.90878    -0.03      0.03     0.05     1 
1210343785   37.16008    118.81343     0.02     -0.22     0.22     1 
1210343786   37.15954    118.84821     0.12     -0.17     0.21     1 
1210343788   37.15843    118.91777    -0.01     -0.09     0.09     1 
1210343812   37.14199    119.75221    -0.08      0.26     0.27     1 
1210343856   37.13726    118.67373     0.06      0.09     0.11     1 
1210343886   37.11794    119.71656     0.05     -0.00     0.05     1 
1210343906   37.12147    117.80385     0.42     -0.02     0.42     1 
1210343937   37.10926    118.88176     0.08      0.24     0.26     1 
1210343954   37.09841    119.47252     0.03     -0.04     0.05     1 
1210343957   37.09619    119.57674     0.23      0.13     0.26     1 
1210344029   37.07355    119.47171     0.03      0.13     0.13     1 
1210344036   37.06823    119.71479    -0.33      0.09     0.34     1 
1210344089   37.05841    118.95000    -0.18      0.39     0.43     1 
1210344090   37.05783    118.98474     0.29      0.03     0.29     1 
1210344091   37.05724    119.01947     0.19      0.08     0.20     1 
1210344092   37.05665    119.05420     0.01      0.08     0.08     1 
1210344093   37.05604    119.08893     0.13      0.12     0.18     1 
1210344102   37.05012    119.40147     0.33      0.16     0.36     1 
1210344104   37.04870    119.47091     0.24      0.24     0.34     1 
1210344109   37.04495    119.64448    -0.14     -0.07     0.16     1 
1210344113   37.04177    119.78332     0.45     -0.10     0.46     1 
1210344167   37.03178    119.05353     0.31     -0.09     0.33     1 
1210344168   37.03118    119.08825    -0.01      0.01     0.02     1 
1210344173   37.02799    119.26184     0.12      0.09     0.15     1 
1210344183   37.02087    119.60892     0.19      0.02     0.19     1 
1210344185   37.01932    119.67832     0.06     -0.17     0.18     1 
1210344245   37.00507    119.15699     0.26      0.16     0.31     1 
1210344247   37.00379    119.22640     0.16      0.16     0.23     1 
1210344248   37.00313    119.26110    -0.44     -0.13     0.46     1 
1210344256   36.99752    119.53868     0.12      0.00     0.12     1 
1210344258   36.99601    119.60807     0.17      0.02     0.17     1 
1210344294   36.99318    118.25391     0.12     -0.26     0.28     1 
1210344318   36.98145    119.08689     0.50      0.60     0.78     2 
1210344331   36.97266    119.53786     0.32      0.14     0.35     1 
1210344405   36.94854    119.50236     0.20      0.08     0.22     1 
1210344411   36.94398    119.71037     0.01     -0.10     0.10     1 
1210344549   36.90303    119.29282     0.19     -0.07     0.20     1 
1210344623   36.87883    119.25743     0.28      0.02     0.28     1 
1210344652   36.87355    117.66256    -0.10     -0.06     0.12     1 
1210344700   36.85263    119.32596     0.15     -0.15     0.21     1 
1210344727   36.84867    117.66235    -0.07     -0.04     0.08     1 
1210344728   36.84847    117.69701     0.10     -0.18     0.21     1 
1210344780   36.82426    119.49831     0.23      0.58     0.62     2 
1210344814   36.82075    118.07786    -0.40      0.27     0.48     1 
1210344931   36.77381    119.53128     0.39      0.03     0.39     1 
1210344967   36.77001    118.18102    -0.03     -0.37     0.37     1 
1210344968   36.76967    118.21563     0.21      0.06     0.22     1 
1210345143   36.70795    119.07947     0.16      0.05     0.17     1 
1210345212   36.68652    118.87141    -0.02     -0.16     0.17     1 
1210345454   36.60126    119.45655     0.09     -0.80     0.81     2 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 78

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.063
  Median: -0.063
  Standard Deviation: 0.221

Sample residual statistics:
  Mean: -0.026
  Median: -0.073
  Standard Deviation: 0.248

Quadrant RMSE: 0.340

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 10

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.355
  Median: -0.366
  Standard Deviation: 0.216

Sample residual statistics:
  Mean: 0.031
  Median: 0.070
  Standard Deviation: 0.141

Quadrant RMSE: 0.440

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 71

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.018
  Median: -0.021
  Standard Deviation: 0.178

Sample residual statistics:
  Mean: -0.007
  Median: -0.021
  Standard Deviation: 0.204

Quadrant RMSE: 0.272

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 57

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.088
  Median: 0.094
  Standard Deviation: 0.226

Sample residual statistics:
  Mean: 0.032
  Median: 0.017
  Standard Deviation: 0.216

Quadrant RMSE: 0.326

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 216

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: -0.022
  Median: -0.010
  Standard Deviation: 0.229

Sample residual statistics:
  Mean: -0.002
  Median: -0.022
  Standard Deviation: 0.223

Scene RMSE: 0.321

