Tue. Sep.  2, 2014             LANDSAT 4                 Time: 06:20
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L13360252            Path/Row: 121 / 034

L0R Reference Image: L41XXX1089028020100_HDF.142451111
Acquisition Date: Jan 28, 1989

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
120   034   2000-06-12
121   034   2000-05-02
121   035   2000-05-02
122   034   2001-05-28


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1220340025   37.845959  118.096020     0.302       6.360    -1.128     6.458    -0.100
1220340114   37.723441  118.099658     1.027      -2.315     0.521    -2.367     0.145
1220340134   37.674830  118.230590     3.145       3.175     5.286     2.289     5.725
1220340135   37.786641  118.216771     3.000      -8.201     5.165    -8.920     3.791
1220340139   37.636413  118.004531     2.562       6.712    -6.387     7.648    -5.233
1220340151   37.680829  118.144957     1.052       3.275     2.079     2.900     2.575
1220340203   37.540020  117.955357     4.568      -6.156    -2.979    -5.597    -3.923
1220340327   37.688311  118.097438     2.026      -2.109     1.869    -2.379     1.508
1220340416   37.177283  118.002813     2.098      -6.651    -0.251    -6.523    -1.314
1220340454   37.224396  118.251975     3.543      -0.398    -1.010    -0.230    -1.061
1220340458   37.205485  118.250310     4.628       4.876    -1.384     5.035    -0.585
1220340468   37.209781  118.227392     3.676       3.263    -4.617     3.962    -4.034
