==============================================================================
==============================================================================
Sun. May. 11 2014                  LANDSAT 5                       Time: 13:15
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101405103993_00002                          Path / Row - 121 / 34
Reference Image: L51HAJ1092317010100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210342186   37.70642    117.90712     0.06      0.05     0.08     1 
1210342192   37.70462    118.11742    -0.07      0.05     0.09     1 
1210342197   37.70283    118.29265    -0.04     -0.03     0.05     1 
1210342213   37.69535    118.85327    -0.31     -0.19     0.36     1 
1210342261   37.68128    117.90681     0.18     -0.03     0.18     1 
1210342265   37.68012    118.04697    -0.28      0.08     0.29     1 
1210342266   37.67980    118.08200     0.04     -0.20     0.20     1 
1210342268   37.67914    118.15207     0.00      0.02     0.02     1 
1210342289   37.66966    118.88766    -0.16     -0.24     0.28     1 
1210342291   37.66851    118.95770     0.14     -0.34     0.36     1 
1210342343   37.65400    118.15169    -0.00      0.00     0.00     1 
1210342349   37.65176    118.36182     0.10      0.13     0.16     1 
1210342364   37.64452    118.88702    -0.02     -0.04     0.04     1 
1210342414   37.63014    118.01125    -0.10     -0.05     0.11     1 
1210342416   37.62952    118.08127    -0.06      0.01     0.06     1 
1210342491   37.60437    118.08091     0.06      0.16     0.17     1 
1210342515   37.59369    118.92074     0.01      0.08     0.09     1 
1210342565   37.57954    118.04556     0.22     -0.06     0.23     1 
1210342574   37.57634    118.36044    -0.18      0.03     0.18     1 
1210342578   37.57464    118.50037     0.04     -0.01     0.04     1 
1210342648   37.55159    118.32501     0.35     -0.05     0.36     1 
1210342649   37.55119    118.35998     0.13      0.02     0.13     1 
1210342650   37.55079    118.39496     0.05      0.05     0.08     1 
1210342653   37.54950    118.49987    -0.08     -0.10     0.13     1 
1210342654   37.54905    118.53484     0.02      0.07     0.07     1 
1210342665   37.54342    118.91945    -0.02      0.00     0.02     1 
1210342716   37.52894    118.07982     0.18     -0.06     0.19     1 
1210342723   37.52645    118.32457    -0.12     -0.11     0.16     1 
1210342724   37.52605    118.35953    -0.02      0.29     0.29     1 
1210342731   37.52298    118.60424     0.05      0.17     0.18     1 
1210342734   37.52151    118.70910     0.16      0.14     0.21     1 
1210342784   37.50578    117.83477     0.07     -0.13     0.15     1 
1210342791   37.50380    118.07946     0.28      0.03     0.29     1 
1210342796   37.50207    118.25422    -0.10     -0.01     0.10     1 
1210342800   37.50050    118.39402     0.10      0.07     0.12     1 
1210342805   37.49831    118.56875     0.21      0.14     0.25     1 
1210342806   37.49784    118.60370     0.19      0.15     0.25     1 
1210342809   37.49637    118.70853     0.29     -0.11     0.31     1 
1210342812   37.49481    118.81335     0.11      0.04     0.11     1 
1210342859   37.48064    117.83449     0.08     -0.12     0.14     1 
1210342863   37.47957    117.97427     0.00     -0.15     0.15     1 
1210342866   37.47866    118.07910    -0.07     -0.03     0.08     1 
1210342870   37.47730    118.21886     0.02     -0.10     0.10     1 
1210342878   37.47408    118.49836    -0.04     -0.09     0.10     1 
1210342880   37.47317    118.56823    -0.15      0.01     0.15     1 
1210342881   37.47271    118.60316     0.22     -0.04     0.22     1 
1210342882   37.47223    118.63809    -0.05     -0.11     0.12     1 
1210342883   37.47174    118.67302     0.19      0.10     0.22     1 
1210342884   37.47124    118.70795     0.12     -0.16     0.20     1 
1210342885   37.47073    118.74288     0.02     -0.23     0.23     1 
1210342934   37.45549    117.83421     0.06     -0.18     0.19     1 
1210342940   37.45383    118.04380     0.11     -0.03     0.11     1 
1210342941   37.45351    118.07873     0.14      0.08     0.17     1 
1210342952   37.44938    118.46294     0.02     -0.08     0.08     1 
1210342957   37.44709    118.63755     0.15     -0.05     0.16     1 
1210342960   37.44559    118.74230    -0.13      0.27     0.30     1 
1210343008   37.43059    117.79900     0.13     -0.32     0.35     1 
1210343015   37.42868    118.04345     0.02     -0.09     0.09     1 
1210343023   37.42589    118.32279     0.12      0.06     0.13     1 
1210343027   37.42424    118.46245    -0.01     -0.06     0.06     1 
1210343029   37.42335    118.53227    -0.04      0.16     0.16     1 
1210343033   37.42146    118.67190    -0.30     -0.29     0.41     1 
1210343092   37.40290    118.11292     0.04      0.05     0.06     1 
1210343099   37.40035    118.35725    -0.06     -0.02     0.06     1 
1210343105   37.39776    118.56666     0.05      0.10     0.11     1 
1210343113   37.39373    118.84581     0.01      0.02     0.02     1 
1210343142   37.37361    119.85719    -0.17      0.19     0.26     1 
1210343171   37.37636    118.25213     0.03      0.11     0.12     1 
1210343173   37.37560    118.32191     0.01     -0.06     0.06     1 
1210343174   37.37521    118.35680    -0.03      0.03     0.04     1 
1210343179   37.37308    118.53125    -0.06     -0.03     0.07     1 
1210343180   37.37262    118.56613     0.01      0.02     0.02     1 
1210343182   37.37167    118.63590     0.11      0.10     0.15     1 
1210343186   37.36966    118.77544     0.22     -0.26     0.34     1 
1210343189   37.36804    118.88008    -0.13      0.00     0.13     1 
1210343217   37.34849    119.85624     0.08      0.05     0.10     1 
1210343243   37.35228    118.14706    -0.07      0.03     0.08     1 
1210343245   37.35158    118.21683     0.07     -0.02     0.07     1 
1210343249   37.35006    118.35635     0.03      0.03     0.04     1 
1210343250   37.34966    118.39123    -0.01      0.06     0.06     1 
1210343252   37.34882    118.46098    -0.03      0.00     0.03     1 
1210343253   37.34838    118.49586     0.06      0.08     0.10     1 
1210343256   37.34701    118.60049     0.10      0.22     0.24     1 
1210343261   37.34452    118.77484     0.06     -0.08     0.10     1 
1210343262   37.34400    118.80971    -0.00      0.00     0.00     1 
1210343263   37.34346    118.84458     0.04      0.09     0.10     1 
1210343264   37.34291    118.87945     0.19      0.38     0.43     1 
1210343320   37.32644    118.21642     0.37     -0.26     0.45     1 
1210343321   37.32608    118.25129     0.15     -0.29     0.32     1 
1210343326   37.32410    118.42563    -0.07      0.03     0.07     1 
1210343334   37.32041    118.70454     0.06      0.21     0.22     1 
1210343335   37.31990    118.73939     0.11      0.07     0.13     1 
1210343336   37.31939    118.77425     0.14      0.05     0.15     1 
1210343388   37.30355    117.97199     0.33      0.10     0.35     1 
1210343393   37.30199    118.14630     0.10     -0.03     0.10     1 
1210343396   37.30093    118.25087     0.14     -0.07     0.15     1 
1210343402   37.29854    118.46001     0.31     -0.13     0.34     1 
1210343408   37.29577    118.66912     0.06      0.02     0.06     1 
1210343410   37.29477    118.73882     0.03      0.10     0.10     1 
1210343411   37.29425    118.77366     0.02     -0.07     0.07     1 
1210343415   37.29208    118.91304     0.04      0.01     0.04     1 
1210343460   37.27922    117.86711     0.13      0.41     0.43     1 
1210343475   37.27423    118.38984     0.02      0.06     0.06     1 
1210343480   37.27206    118.56405     0.27      0.05     0.28     1 
1210343481   37.27159    118.59889     0.13     -0.28     0.31     1 
1210343482   37.27112    118.63372     0.38      0.12     0.40     1 
1210343483   37.27063    118.66856     0.09      0.04     0.10     1 
1210343485   37.26963    118.73824     0.06     -0.26     0.27     1 
1210343486   37.26911    118.77307    -0.06     -0.10     0.12     1 
1210343487   37.26859    118.80791    -0.05     -0.07     0.08     1 
1210343488   37.26805    118.84274     0.18     -0.04     0.18     1 
1210343489   37.26750    118.87757     0.18     -0.01     0.18     1 
1210343491   37.26638    118.94724    -0.08     -0.01     0.08     1 
1210343534   37.25432    117.83198     0.06     -0.07     0.10     1 
1210343535   37.25407    117.86682     0.03     -0.12     0.12     1 
1210343547   37.25027    118.28488    -0.05     -0.05     0.07     1 
1210343548   37.24989    118.31971     0.13     -0.10     0.16     1 
1210343550   37.24909    118.38938    -0.15      0.21     0.26     1 
1210343558   37.24549    118.66801    -0.02     -0.10     0.10     1 
1210343559   37.24500    118.70283     0.39     -0.06     0.39     1 
1210343561   37.24398    118.77248    -0.04     -0.01     0.04     1 
1210343562   37.24345    118.80731     0.02     -0.03     0.04     1 
1210343563   37.24291    118.84213     0.05     -0.06     0.08     1 
1210343564   37.24237    118.87695    -0.08     -0.00     0.08     1 
1210343565   37.24181    118.91177     0.04     -0.04     0.06     1 
1210343616   37.22721    118.07550     0.15     -0.08     0.17     1 
1210343618   37.22656    118.14515     0.12     -0.00     0.12     1 
1210343619   37.22622    118.17998     0.11     -0.00     0.11     1 
1210343620   37.22586    118.21480    -0.06      0.04     0.08     1 
1210343621   37.22550    118.24963     0.11     -0.04     0.12     1 
1210343622   37.22513    118.28445    -0.03     -0.09     0.09     1 
1210343623   37.22475    118.31927     0.08     -0.08     0.11     1 
1210343624   37.22435    118.35409     0.10     -0.12     0.15     1 
1210343631   37.22132    118.59782     0.10     -0.10     0.14     1 
1210343632   37.22084    118.63264    -0.15      0.01     0.15     1 
1210343633   37.22036    118.66746    -0.22     -0.34     0.40     1 
1210343634   37.21986    118.70227    -0.22     -0.13     0.25     1 
1210343635   37.21936    118.73708     0.18     -0.07     0.20     1 
1210343636   37.21884    118.77189     0.08     -0.03     0.09     1 
1210343637   37.21831    118.80671    -0.10     -0.08     0.13     1 
1210343638   37.21778    118.84152    -0.01     -0.05     0.06     1 
1210343639   37.21723    118.87633    -0.03     -0.02     0.04     1 
1210343640   37.21667    118.91113     0.20     -0.20     0.28     1 
1210343686   37.20352    117.90107     0.12     -0.06     0.13     1 
1210343689   37.20268    118.00552     0.07     -0.15     0.16     1 
1210343694   37.20107    118.17959     0.10      0.12     0.16     1 
1210343695   37.20072    118.21440     0.01      0.01     0.02     1 
1210343696   37.20036    118.24921     0.02     -0.09     0.10     1 
1210343697   37.19999    118.28402     0.00     -0.10     0.10     1 
1210343698   37.19960    118.31883     0.01     -0.03     0.03     1 
1210343709   37.19472    118.70170    -0.00      0.00     0.00     1 
1210343713   37.19264    118.84091     0.12      0.04     0.13     1 
1210343714   37.19210    118.87570    -0.06     -0.02     0.07     1 
1210343740   37.17432    119.78007    -0.07     -0.03     0.07     1 
1210343761   37.17837    117.90077    -0.00      0.01     0.01     1 
1210343762   37.17810    117.93557     0.10      0.17     0.20     1 
1210343769   37.17593    118.17920    -0.05     -0.08     0.10     1 
1210343772   37.17484    118.28360    -0.01      0.27     0.27     1 
1210343773   37.17446    118.31840     0.15      0.20     0.25     1 
1210343774   37.17407    118.35319     0.13      0.04     0.14     1 
1210343775   37.17367    118.38799     0.07     -0.11     0.13     1 
1210343783   37.17008    118.66635    -0.09     -0.07     0.12     1 
1210343785   37.16908    118.73593     0.42      0.09     0.43     1 
1210343787   37.16804    118.80551    -0.04     -0.24     0.24     1 
1210343789   37.16696    118.87508    -0.01      0.01     0.02     1 
1210343790   37.16640    118.90987     0.04     -0.10     0.11     1 
1210343791   37.16584    118.94465     0.08     -0.11     0.14     1 
1210343792   37.16526    118.97943     0.35      0.02     0.35     1 
1210343796   37.16285    119.11856     0.17      0.16     0.23     1 
1210343816   37.14838    119.81390     0.02      0.06     0.06     1 
1210343836   37.15323    117.90047     0.04      0.09     0.09     1 
1210343837   37.15296    117.93526     0.03     -0.03     0.04     1 
1210343847   37.14970    118.28317     0.13      0.11     0.17     1 
