==============================================================================
==============================================================================
Wed. Jul. 30 2014                  LANDSAT 5                       Time: 23:08
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407296728_00001                          Path / Row - 121 / 34
Reference Image: L51HAJ1085329020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 91.6%
Rank   2 --  8.4%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1210343414   37.28561    118.91186     0.22      0.25     0.33     1 
1210343415   37.28504    118.94670     0.41      0.27     0.49     1 
1210343459   37.27301    117.86603     0.43      0.30     0.53     2 
1210343474   37.26803    118.38871     0.01      0.25     0.25     1 
1210343483   37.26393    118.70225    -0.05      0.08     0.09     1 
1210343485   37.26291    118.77191    -0.15      0.06     0.16     1 
1210343487   37.26185    118.84157    -0.12      0.02     0.12     1 
1210343488   37.26130    118.87640     0.10      0.22     0.25     1 
1210343558   37.23907    118.70169     0.31     -0.03     0.31     1 
1210343562   37.23698    118.84097     0.15      0.08     0.16     1 
1210343563   37.23644    118.87579     0.01     -0.07     0.07     1 
1210343687   37.19757    117.96962     0.25      0.05     0.25     1 
1210343693   37.19568    118.17849     0.06     -0.06     0.08     1 
1210343696   37.19459    118.28292     0.06     -0.03     0.07     1 
1210343704   37.19125    118.56136     0.00      0.00     0.00     1 
1210343739   37.16894    119.77886    -0.14      0.09     0.17     1 
1210343760   37.17324    117.89969     0.04      0.02     0.04     1 
1210343761   37.17297    117.93449     0.00     -0.19     0.19     1 
1210343763   37.17240    118.00410     0.08      0.04     0.08     1 
1210343789   37.16128    118.90873     0.06      0.08     0.10     1 
1210343790   37.16072    118.94351     0.08     -0.06     0.10     1 
1210343813   37.14490    119.74319    -0.08      0.25     0.26     1 
1210343834   37.14863    117.86460     0.22      0.05     0.22     1 
1210343839   37.14723    118.03856     0.59      0.10     0.60     2 
1210343843   37.14593    118.17772    -0.03      0.14     0.15     1 
1210343858   37.13959    118.69946     0.30      0.23     0.38     1 
1210343861   37.13805    118.80378    -0.48      0.27     0.55     2 
1210343863   37.13697    118.87333     0.09     -0.10     0.14     1 
1210343864   37.13642    118.90810     0.10      0.08     0.13     1 
1210343866   37.13528    118.97764    -0.16     -0.00     0.16     1 
1210343908   37.12400    117.82954    -0.22      0.28     0.35     1 
1210343911   37.12322    117.93388     0.24     -0.11     0.26     1 
1210343917   37.12139    118.14255     0.21     -0.49     0.53     2 
1210343934   37.11422    118.73366     0.05      0.10     0.11     1 
1210343938   37.11211    118.87271     0.08      0.08     0.12     1 
1210343963   37.09520    119.74140     0.19     -0.57     0.60     2 
1210344007   37.09035    118.66359    -0.05      0.24     0.25     1 
1210344013   37.08724    118.87210    -0.11      0.30     0.32     1 
1210344038   37.07035    119.74050    -0.00      0.04     0.04     1 
1210344105   37.05159    119.46189    -0.05      0.13     0.13     1 
1210344139   37.04773    118.03720     0.36     -0.01     0.36     1 
1210344158   37.04012    118.69724    -0.08     -0.18     0.20     1 
1210344159   37.03962    118.73197    -0.33     -0.31     0.45     1 
1210344169   37.03404    119.07922     0.17      0.02     0.17     1 
1210344174   37.03087    119.25282     0.10      0.28     0.30     1 
1210344180   37.02673    119.46109     0.42     -0.21     0.47     1 
1210344248   37.00666    119.21738    -0.51      0.33     0.61     2 
1210344257   37.00041    119.52968    -0.12     -0.02     0.13     1 
1210344259   36.99891    119.59907    -0.17      0.06     0.18     1 
1210344260   36.99815    119.63376     0.02     -0.13     0.13     1 
1210344280   37.00030    117.72401    -0.07      0.16     0.18     1 
1210344318   36.98492    119.04317    -0.22     -0.16     0.28     1 
1210344319   36.98431    119.07787     0.29      0.12     0.32     1 
1210344321   36.98308    119.14727    -0.01      0.44     0.44     1 
1210344324   36.98115    119.25135     0.07      0.10     0.12     1 
1210344329   36.97773    119.42480     0.59     -0.26     0.64     2 
1210344334   36.97406    119.59822    -0.07     -0.01     0.07     1 
1210344363   36.97340    118.00148     0.04      0.08     0.09     1 
1210344368   36.97181    118.17503    -0.20     -0.06     0.21     1 
1210344394   36.95945    119.07719    -0.12      0.02     0.12     1 
1210344407   36.95070    119.52803     0.09      0.06     0.11     1 
