Thu. Jan.  5, 2017             LANDSAT 5                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L23561597            Path/Row: 121 / 034

L0R Reference Image: L51CLT1095357010100_HDF.170051754
Acquisition Date: Dec 23, 1995

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
121   034   05-02-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1210340215_01   38.105062  118.683263     1.834      -2.231    -1.613    -1.943    -1.950
1210340217_01   37.808260  118.660485     1.963       2.561     1.910     2.220     2.297
1210340218_01   37.230464  118.132700     3.972      -4.483     2.183    -4.777     1.430
1210340219_01   37.717757  118.128847     1.883      -1.977    -3.717    -1.352    -3.986
1210340220_01   37.234494  118.389108     3.801      -3.138    -0.174    -3.069    -0.679
1210340221_01   37.328123  118.597714     0.506      -1.702     3.907    -2.311     3.581
1210340222_01   37.209733  118.729424     0.901       1.250     2.295     0.863     2.467
1210340224_01   37.778450  118.546384     4.199       2.193     0.024     2.160     0.376
1210340226_01   37.548659  118.437028     4.472       3.822    -3.764     4.378    -3.099
1210340227_01   37.174457  117.882134     6.258       2.768    -1.656     2.999    -1.187
1210340236_01   37.845959  118.096020     0.302       1.089    -1.437     1.306    -1.244
1210340238_01   37.594696  118.213978     4.907      -0.898    -2.276    -0.519    -2.391
1210340244_01   37.109816  119.075219    -0.015       0.806     0.478     0.718     0.602
1210340247_01   37.044429  119.468069     4.215      -2.807     3.481    -3.334     2.981
1210340250_01   37.077380  119.194803     0.688       3.198    -3.921     3.791    -3.352
1210340252_01   37.312904  119.818335    12.857      -4.842     2.853    -5.241     2.034
1210340253_01   37.176370  118.680342     1.429       3.814     2.280     3.395     2.867
1210340256_01   37.859356  119.039119     0.170       4.729    -4.082     5.325    -3.269
1210340259_01   37.443714  118.587622    -0.848       2.630     2.207     2.239     2.603
1210340260_01   37.459533  118.009284     3.000      -1.176     5.861    -2.107     5.594
1210340266_01   37.386331  118.329553     3.238      -3.259    -6.246    -2.207    -6.689
1210340268_01   37.665024  118.336550     4.169       5.517    -3.577     6.020    -2.643
1210340269_01   37.047146  119.606444     2.312       3.922    -1.360     4.092    -0.707
1210340270_01   37.199080  118.015271     4.849      -2.689     3.577    -3.232     3.096
1210340280_01   37.230296  118.446180     2.852       1.790    -5.058     2.585    -4.702
1210340281_01   37.238262  118.108804     3.179      -2.180     1.099    -2.329     0.732
1210340283_01   37.437937  118.153115     4.399      -2.239    -4.168    -1.537    -4.474
1210340285_01   37.527378  118.289615     4.395      -4.024     1.242    -4.172     0.577
1210340289_01   37.187587  118.488626     3.335       1.059     0.307     0.995     0.474
